var,raw_type,raw_map,num_unique_responses,num_response_nulls,category,category_abbreviated,subcategory1,var_type,cat_column_name,model_learn,model_top10,visual_component,visual_old_name,survey_question
acehurt1,num,,6,381899,Adverse Childhood Experiences,ace,abuse,cat,ace_abuse_acehurt1_cat,,,,,"Not including spanking, (before age 18), how often did a parent or adult in your home ever hit, beat, kick, or physically hurt you in any way? Was itâ€”"
aceadned,num,,8,381581,Adverse Childhood Experiences,ace,basicneeds,cat,ace_basicneeds_aceadned_cat,,,,,"For how much of your childhood was there an adult in your household who tried hard to make sure your basic needs were met? Would you say never, a little of the time, some of the time, most of the time, or all of the time?"
acedeprs,num,,5,381433,Adverse Childhood Experiences,ace,depressed,bin,ace_depressed_acedeprs_bin,,,,,"Did you live with anyone who was depressed, mentally ill, or suicidal?"
acedrink,num,,5,381216,Adverse Childhood Experiences,ace,drinking,bin,ace_drinking_acedrink_bin,,,,,Did you live with anyone who was a problem drinker or alcoholic?
acedrugs,num,,5,381274,Adverse Childhood Experiences,ace,drugs,bin,ace_drugs_acedrugs_bin,,,,,Did you live with anyone who used illegal street drugs or who abused prescription medications?
acehvsex,num,,6,382100,Adverse Childhood Experiences,ace,forcedsex,cat,ace_forcedsex_acehvsex_cat,,,,,"How often did anyone at least 5 years older than you or an adult, force you to have sex?"
acedivrc,num,,6,381408,Adverse Childhood Experiences,ace,parentmaritalstatus,bin,ace_parentmaritalstatus_acedivrc_bin,,,,,Were your parents separated or divorced?
aceprisn,num,,5,381129,Adverse Childhood Experiences,ace,prison,bin,ace_prison_aceprisn_bin,,,,,"Did you live with anyone who served time or was sentenced to serve time in a prison, jail, or other correctional facility?"
acepunch,num,,6,382148,Adverse Childhood Experiences,ace,punch,cat,ace_punch_acepunch_cat,,,,,"How often did your parents or adults in your home ever slap, hit, kick, punch or beat each other up?"
aceadsaf,num,,8,381672,Adverse Childhood Experiences,ace,safe,cat,ace_safe_aceadsaf_cat,,,,,"For how much of your childhood was there an adult in your household who made you feel safe and protected? Would you say never, a little of the time, some of the time, most of the time, or all of the time?Â "
aceswear,num,,6,382186,Adverse Childhood Experiences,ace,swear,cat,ace_swear_aceswear_cat,,,,,"How often did a parent or adult in your home ever swear at you, insult you, or put you down?"
acetouch,num,,6,382120,Adverse Childhood Experiences,ace,touchedsexually,cat,ace_touchedsexually_acetouch_cat,,,,,"How often did anyone at least 5 years older than you or an adult, ever touch you sexually?"
acetthem,num,,6,382120,Adverse Childhood Experiences,ace,touchthemsexually,cat,ace_touchthemsexually_acetthem_cat,,,,,"How often did anyone at least 5 years older than you or an adult, try to make you touch them sexually?"
casthno2,num,,5,433093,Child Demographics,cd,current,bin,cd_current_casthno2_bin,,,,,Does the child still have asthma?
rcsgendr,num,,4,385174,Child Demographics,cd,gender,cat,cd_gender_rcsgendr_cat,,,,,Is the child a boy or a girl? (Random Child Selection)
_cprace1,num,,10,383099,Child Demographics,cd,race,cat,cd_race__cprace1_cat,,,,,Preferred Child Race Categories
rcsrltn2,num,,9,384349,Child Demographics,cd,relationship,cat,cd_relationship_rcsrltn2_cat,,,,,How are you related to the child?
