var,num_responses
_AGE_G,6
_AGE65YR,3
_AGE80,63
_AGEG5YR,14
_AIDTST4,4
_ASTHMS1,4
_BMI5,3888
_BMI5CAT,5
_CASTHM1,3
_CHISPNC,4
_CHLDCNT,7
_CHOLCH3,4
_CLLCPWT,19512
_CPRACE1,10
_CRACE1,10
_CURECI1,3
_DRDXAR3,3
_DRNKWK1,285
_DUALCOR,107
_DUALUSE,3
_EDUCAG,5
_FLSHOT7,4
_FRT16A,2
_FRTLT1A,3
_FRTRES1,2
_FRUITE1,3
_FRUTSU1,729
_HCVU652,3
_HISPANC,3
_HLTHPLN,3
_IMPRACE,6
_INCOMG1,8
_LLCPWT,258033
_LLCPWT2,14331
_LMTACT3,5
_LMTWRK3,5
_LTASTH1,3
_MENT14D,4
_METSTAT,3
_MICHD,3
_MISFRT1,3
_MISVEG1,5
_MRACE1,10
_PHYS14D,4
_PNEUMO3,4
_PRACE1,11
_PSU,39095
_RACE,9
_RACEG21,3
_RACEGR3,6
_RACEPRV,8
_RAWRAKE,12
_RFBING5,3
_RFBMI5,3
_RFCHOL3,4
_RFDRHV7,3
_RFHLTH,3
_RFHYPE6,3
_RFSMOK3,3
_SEX,2
_SMOKER3,5
_STATE,53
_STRWT,1575
_STSTR,2140
_TOTINDA,3
_URBSTAT,3
_VEG23A,2
_VEGESU1,2362
_VEGETE1,3
_VEGLT1A,3
_VEGRES1,2
_WT2RAKE,6313
ACEADNED,8
ACEADSAF,8
ACEDEPRS,5
ACEDIVRC,6
ACEDRINK,5
ACEDRUGS,5
ACEHURT1,6
ACEHVSEX,6
ACEPRISN,5
ACEPUNCH,6
ACESWEAR,6
ACETOUCH,6
ACETTHEM,6
ADDEPEV3,5
ALCDAY5,41
ARTHDIS2,5
ARTHEDU,5
ARTHEXER,5
ASTHMA3,5
ASTHNOW,5
AVEDRNK3,55
BIRTHSEX,5
BLDSTFIT,4
BLDSUGAR,102
BLIND,5
BPHIGH6,7
BPMEDS,5
CADULT1,2
CAGEG,5
CAREGIV1,6
CASTHDX2,5
CASTHNO2,5
CCLGHOUS,2
CDASSIST,8
CDDISCUS,5
CDHELP,8
CDHOUSE,8
CDSOCIAL,8
CELLFON5,2
CELLSEX,5
CELPHON1,2
CERVSCRN,5
CHCCOPD3,5
CHCKDNY2,5
CHCOCNCR,5
CHCSCNCR,5
CHECKUP1,8
CHILDREN,31
CHKHEMO3,40
CHOLCHK3,10
CHOLMED3,5
CIMEMLOS,5
CNCRAGE,98
CNCRDIFF,6
CNCRTYP1,33
COLGHOUS,2
COLGSEX,3
COLNCNCR,5
COLNSIGM,6
COLNTES1,8
CPDEMO1B,10
CRGVALZD,5
CRGVEXPT,5
CRGVHOU1,5
CRGVHRS1,7
CRGVLNG1,8
CRGVPER1,5
CRGVPRB3,18
CRGVREL4,18
CRVCLCNC,8
CRVCLHPV,5
CRVCLPAP,5
CSRVCLIN,4
CSRVCTL2,6
CSRVDEIN,5
CSRVDOC1,13
CSRVINSR,5
CSRVINST,5
CSRVPAIN,5
CSRVRTRN,5
CSRVSUM,5
CSRVTRT3,8
CSTATE1,3
CTELENM1,3
CTELNUM1,2
CVDCRHD4,5
CVDINFR4,5
CVDSTRK3,5
DEAF,5
DECIDE,5
DIABAGE3,100
DIABEDU,5
DIABETE4,7
DIABEYE,5
DIFFALON,5
DIFFDRES,5
DIFFWALK,5
DISPCODE,2
DOCTDIAB,48
DRADVISE,5
DRNK3GE5,50
DRNKANY5,4
DROCDY3_,36
ECIGNOW1,7
EDUCA,8
EMPLOY1,10
EXERANY2,5
EYEEXAM1,8
FEETCHK,50
FEETCHK3,81
FIREARM5,5
FLSHTMY3,34
FLUSHOT7,5
FMONTH,12
FRENCHF1,148
FRNCHDA_,135
FRUIT2,174
FRUITJU2,141
FRUTDA2_,160
FTJUDA2_,129
FVGREEN1,172
GENHLTH,8
GRENDA1_,158
GUNLOAD,5
HADHYST2,5
HADMAM,5
HADSIGM4,5
HAVARTH5,5
HAVECFS,1
HAVEHEPB,5
