var,is_derived,is_visual,num_responses,keep,category,category_abbreviated,subcategory1,subcategory1_abbreviated,subcategory2,analysis,analyzed_by,var_type,hs_ext_column_name,MapCommand,survey_question
ff,,,6,n,Demographics,,age,,category,Ignore,Sandeep,Categorical,,,Six-level imputed age category
_AGE65YR,,,3,n,Demographics,,age,,category,Ignore,Monika,Categorical,,,Two-level age category
_AGE80,,y,63,y,Demographics,dem,age,age,na,Ignore,Sandeep,cont,dem_age_na_cont,"case --_AGE80

end as dem_age_na_cont,",Imputed Age value collapsed above 80
_AGEG5YR,,,14,n,Demographics,,age,bmi,test,VVIP,Sandeep,Categorical,,,Fourteen-level age category
_AIDTST4,,,4,y,Health Condition,hc,hiv,hiv,tested,VVIP,Mousom,bin,hc_hiv_tested_bin,"case --_AIDTST4

end as hc_hiv_tested_bin,",Adults who have ever been tested for HIV
_ASTHMS1,,,4,y,Health Condition,hc,asthma,asthma,na,Ignore,Tim,cat,hc_asthma_na_cat,"case --_ASTHMS1

end as hc_asthma_na_cat,",Computed asthma status
_BMI5,,,3888,y,General Health,gh,bmi,bmi,na,VVIP,Sandeep,cont,gh_bmi_na_cont,"case --_BMI5

end as gh_bmi_na_cont,",Body Mass Index (BMI)
_BMI5CAT,,y,5,y,General Health,gh,bmi,bmi,na,Think about this,Sandeep,cat,gh_bmi_na_cat,"case --_BMI5CAT

end as gh_bmi_na_cat,",Four-categories of Body Mass Index (BMI)
_CASTHM1,,,3,y,Health Condition,hc,asthma,asthma,test,Ignore,Tim,bin,hc_asthma_test_bin,"case --_CASTHM1

end as hc_asthma_test_bin,",Adults who have been told they currently have asthma
_CHISPNC,,,4,n,Demographics,,Race,weight,type,Ignore?,Sandeep,Categorical,,,"Child Hispanic, Latino/a, or Spanish origin calculated variable"
_CHLDCNT,,,7,n,Demographics,,children,cvd,condition,Ignore,Mousom,Categorical,,,Number of children in household
_CHOLCH3,,,4,y,Health Condition,hc,cvd,test,cholesterol,Ignore,Mousom,cat,hc_test_cholesterol_cat,"case --_CHOLCH3

end as hc_test_cholesterol_cat,",Cholesterol check within past five years
_CLLCPWT,,,19512,n,Phone,,Phone,vegetables,na,Ignore,Sandeep,Categorical,,,Final child weight: Land-line and Cell-Phone data (Raking derived weight)
_CPRACE1,,,10,n,Child Demographics,,Race,safe,na,Ignore,Nalini,Categorical,,,Preferred Child Race Categories
_CRACE1,,,10,n,Phone,,Phone,drugs,na,Ignore,Nalini,Categorical,,,Child multiracial race categorization
_CURECI1,,y,3,y,Social Habits,sh,Smoking,smoking,ecigs,VVIP,Nalini,cat,sh_smoking_ecigs_cat,"case --_CURECI1

end as sh_smoking_ecigs_cat,",Adults who are current e-cigarette users
